Size (bp),E2: CFD1601677
754.78,49.09
756.00,49.99
757.22,50.03
758.44,49.66
759.67,49.80
760.89,51.06
762.11,52.72
763.33,53.39
764.56,52.65
765.78,51.30
767.00,50.24
768.22,49.81
769.44,49.78
770.67,49.75
771.89,49.81
773.11,50.24
774.33,50.98
775.56,51.73
776.78,52.17
778.00,52.28
779.22,52.19
780.44,51.75
781.67,50.79
782.89,49.67
784.11,48.68
785.33,47.77
786.56,46.16
787.78,45.84
789.00,45.66
790.22,44.83
791.44,43.31
792.67,42.00
793.89,41.42
795.11,41.30
796.33,41.31
797.56,41.21
798.78,40.85
800.00,40.14
801.00,39.08
802.43,37.92
803.87,36.94
805.30,36.06
806.74,35.12
808.17,34.42
809.61,34.11
811.04,33.72
812.48,33.17
813.91,32.74
815.35,32.45
816.78,32.18
818.22,31.85
819.65,31.31
821.09,30.66
822.52,30.09
823.96,29.32
825.39,28.24
826.83,27.53
828.26,27.47
829.70,27.44
831.13,27.15
832.57,26.72
834.00,25.82
835.43,24.64
836.87,24.09
838.30,24.07
839.74,23.73
841.17,23.23
842.61,23.05
844.04,22.81
845.48,22.14
846.91,21.62
848.35,21.85
849.78,22.62
851.22,23.18
852.65,22.99
854.09,22.35
855.52,21.85
856.96,21.31
858.39,20.57
859.83,20.13
861.26,20.08
862.70,20.17
864.13,20.69
865.57,21.25
867.00,21.24
868.43,20.91
869.87,20.87
871.30,21.16
872.74,21.43
874.17,21.63
875.61,21.98
877.04,22.65
878.48,23.28
879.91,23.39
881.35,23.16
882.78,23.23
884.22,23.79
885.65,24.61
887.09,25.31
888.52,25.46
889.96,25.23
891.39,25.36
892.83,26.00
894.26,26.41
895.70,26.17
897.13,25.65
898.57,25.32
900.00,25.31
901.00,25.69
902.80,26.41
904.60,27.29
906.40,28.39
908.20,29.68
910.00,30.68
911.80,30.70
913.60,29.66
915.40,28.56
917.20,28.51
919.00,29.35
920.80,30.17
922.60,30.58
924.40,30.76
926.20,30.82
928.00,30.67
929.80,30.60
931.60,31.19
933.40,32.17
935.20,32.54
937.00,32.20
938.80,32.02
940.60,32.30
942.40,32.62
944.20,32.85
946.00,33.43
947.80,33.89
949.60,34.37
951.40,34.49
953.20,34.31
955.00,34.01
956.80,33.20
958.60,32.07
960.40,31.70
962.20,32.24
964.00,32.61
965.80,32.33
967.60,31.71
969.40,31.06
971.20,30.63
