Size (bp),A1: CFD1806872
420.30,59.66
421.14,58.71
421.97,58.25
422.81,58.04
423.65,57.58
424.49,56.85
425.33,56.20
426.17,55.72
427.01,55.21
427.85,54.75
428.69,54.76
429.53,55.18
430.36,55.46
431.20,55.34
432.04,55.06
432.88,54.79
433.72,54.42
434.56,53.82
435.40,53.15
436.24,52.89
437.08,53.04
437.92,52.89
438.75,52.08
439.59,51.20
440.43,50.88
441.27,51.10
442.11,51.60
442.95,52.12
443.79,52.44
444.63,52.49
445.47,52.26
446.31,51.69
447.14,51.18
447.98,51.28
448.82,51.71
449.66,51.98
450.50,52.21
451.34,52.23
452.18,51.61
453.02,50.73
453.86,50.39
454.69,50.77
455.53,51.17
456.37,50.69
457.21,49.48
458.05,48.75
458.89,49.29
459.73,50.51
460.57,51.33
461.41,51.46
462.25,51.38
463.08,51.26
463.92,50.94
464.76,50.48
465.60,50.01
466.44,49.41
467.28,48.70
468.12,48.39
468.96,48.85
469.80,49.73
470.64,50.26
471.47,50.04
472.31,49.49
473.15,48.92
473.99,48.36
474.83,48.21
475.67,48.61
476.51,48.75
477.35,48.15
478.19,47.52
479.03,47.56
479.86,47.87
480.70,47.93
481.54,47.97
482.38,48.25
483.22,48.38
484.06,48.08
484.90,47.69
485.74,47.55
486.58,47.43
487.42,47.06
488.25,46.58
489.09,46.32
489.93,46.37
490.77,46.83
491.61,46.82
492.45,47.04
493.29,47.83
494.13,48.46
494.97,48.12
495.81,47.21
496.64,46.50
497.48,46.16
498.32,46.27
499.16,46.81
500.00,47.10
501.00,46.69
502.02,46.30
503.04,46.96
504.06,48.33
505.08,48.96
506.10,48.28
507.12,47.08
508.14,46.14
509.16,45.55
510.19,45.37
511.21,45.61
512.23,45.99
513.25,46.36
514.27,46.85
515.29,47.39
516.31,47.58
517.33,47.23
518.35,46.59
519.37,46.19
520.39,46.25
521.41,46.47
522.43,46.68
523.45,47.11
524.47,47.84
525.49,48.58
526.52,49.24
527.54,49.86
528.56,50.06
529.58,49.48
530.60,48.28
531.62,47.08
532.64,46.50
533.66,46.71
534.68,47.26
535.70,47.55
536.72,47.26
537.74,46.28
538.76,44.94
539.78,44.09
540.80,43.97
541.82,43.93
542.85,43.83
543.87,44.23
544.89,45.08
545.91,45.65
546.93,45.48
547.95,44.86
548.97,44.52
549.99,44.84
551.01,45.38
552.03,45.67
553.05,45.91
554.07,46.23
555.09,46.11
556.11,45.18
557.13,43.73
558.15,42.33
559.18,41.35
560.20,41.02
561.22,41.40
562.24,41.97
563.26,41.93
564.28,41.43
565.30,41.19
566.32,41.10
567.34,40.83
568.36,40.59
569.38,40.36
570.40,39.83
571.42,39.21
572.44,38.71
573.46,37.99
574.48,37.03
575.51,36.30
576.53,36.01
577.55,35.83
578.57,35.53
579.59,35.08
580.61,34.46
581.63,33.91
582.65,33.79
583.67,34.03
584.69,34.17
585.71,33.81
586.73,32.88
587.75,31.91
588.77,31.48
589.79,31.01
590.81,30.14
591.84,29.60
592.86,30.05
593.88,31.10
594.90,32.00
595.92,32.33
596.94,31.98
597.96,31.08
598.98,29.99
600.00,29.01
601.00,28.52
602.21,28.75
603.41,29.08
604.62,28.73
605.83,27.86
607.04,27.15
608.24,26.92
609.45,27.05
610.66,26.92
611.87,26.02
613.07,24.90
614.28,24.45
615.49,24.69
616.70,25.07
617.90,25.19
619.11,24.90
620.32,24.42
621.52,24.04
622.73,23.75
623.94,23.64
625.15,23.87
626.35,24.05
627.56,23.73
628.77,23.06
629.98,22.40
631.18,21.82
632.39,21.60
633.60,22.03
634.80,22.72
636.01,22.99
637.22,22.78
638.43,22.30
639.63,21.75
640.84,21.55
642.05,21.95
643.26,22.56
644.46,22.85
645.67,22.50
646.88,21.68
648.09,20.99
649.29,20.81
650.50,20.96
651.71,21.28
652.91,21.71
654.12,21.86
655.33,21.38
656.54,20.62
657.74,20.25
658.95,20.48
660.16,20.87
661.37,20.96
662.57,20.54
663.78,19.61
664.99,18.57
666.20,18.08
667.40,18.13
668.61,18.53
669.82,19.57
671.02,20.98
672.23,21.77
673.44,21.66
674.65,21.36
675.85,21.49
677.06,21.92
678.27,21.89
679.48,21.21
680.68,20.51
681.89,20.29
683.10,20.59
684.30,21.27
685.51,21.68
686.72,21.38
687.93,21.05
689.13,21.50
690.34,22.33
691.55,22.87
692.76,22.99
693.96,22.95
695.17,23.08
696.38,23.29
697.59,23.12
698.79,22.58
700.00,22.06
701.00,21.63
702.27,21.18
703.54,20.73
704.81,20.30
706.08,19.90
707.35,19.93
708.62,20.81
709.88,21.68
711.15,21.67
712.42,21.08
713.69,20.96
714.96,21.50
716.23,22.10
717.50,22.34
718.77,22.01
720.04,21.22
721.31,20.57
722.58,20.42
723.85,20.67
725.12,21.15
726.38,21.54
727.65,21.63
728.92,21.54
730.19,21.50
731.46,21.43
732.73,21.20
734.00,20.96
735.27,20.86
736.54,20.85
737.81,20.81
739.08,20.66
740.35,20.48
741.62,20.36
742.88,20.24
744.15,20.12
745.42,20.11
746.69,20.20
747.96,20.31
749.23,20.55
750.50,20.89
751.77,20.85
753.04,20.17
754.31,19.52
755.58,19.63
756.85,20.09
758.12,20.04
759.38,19.40
760.65,18.66
761.92,18.12
763.19,17.77
764.46,17.33
765.73,16.70
767.00,16.15
768.27,16.09
769.54,16.67
770.81,17.46
772.08,17.70
773.35,17.22
774.62,16.64
775.88,16.43
777.15,16.53
778.42,16.74
779.69,16.84
780.96,16.65
