Size (bp),F8: CFD1600800
408.24,110.34
409.05,106.71
409.85,103.38
410.66,100.60
411.46,98.19
412.27,95.84
413.07,93.72
413.88,92.28
414.68,91.47
415.49,90.59
416.29,88.99
417.10,86.84
417.90,84.86
418.71,83.34
419.51,81.80
420.32,79.87
421.12,77.65
421.93,75.34
422.73,73.46
423.54,72.63
424.34,72.57
425.15,72.13
425.95,70.74
426.76,69.11
427.56,67.76
428.37,66.25
429.17,64.28
429.98,62.49
430.78,61.58
431.59,61.02
432.39,59.76
433.20,57.88
434.00,56.58
434.80,56.41
435.61,56.42
436.41,55.48
437.22,53.91
438.02,52.92
438.83,52.91
439.63,53.17
440.44,52.83
441.24,51.70
442.05,50.22
442.85,49.08
443.66,48.80
444.46,49.45
445.27,50.32
446.07,50.73
446.88,50.85
447.68,51.03
448.49,51.20
449.29,51.16
450.10,50.70
450.90,49.50
451.71,47.90
452.51,46.94
453.32,47.12
454.12,48.04
454.93,49.00
455.73,49.21
456.54,48.53
457.34,48.21
458.15,49.23
458.95,50.57
459.76,50.62
460.56,49.37
461.37,47.94
462.17,47.28
462.98,47.50
463.78,47.96
464.59,48.11
465.39,48.34
466.20,49.27
467.00,50.75
467.80,52.05
468.61,52.51
469.41,51.90
470.22,50.95
471.02,50.96
471.83,51.98
472.63,52.79
473.44,52.81
474.24,52.57
475.05,52.33
475.85,51.98
476.66,51.80
477.46,52.17
478.27,53.00
479.07,54.18
479.88,55.77
480.68,57.47
481.49,58.49
482.29,58.33
483.10,57.26
483.90,55.97
484.71,55.12
485.51,55.16
486.32,56.64
487.12,57.21
487.93,57.77
488.73,58.35
489.54,58.97
490.34,59.62
491.15,60.16
491.95,60.50
492.76,60.74
493.56,61.08
494.37,61.65
495.17,62.28
495.98,62.68
496.78,63.11
497.59,63.88
498.39,64.64
499.20,65.34
500.00,66.55
501.00,67.98
501.97,68.49
502.94,68.04
503.91,67.88
504.88,68.65
505.85,69.80
506.82,70.48
507.79,70.55
508.76,70.89
509.74,72.19
510.71,73.61
511.68,74.02
512.65,74.28
513.62,76.01
514.59,78.69
515.56,80.21
516.53,80.14
517.50,80.09
518.47,81.07
519.44,82.48
520.41,83.46
521.38,84.04
522.35,84.96
523.32,86.26
524.29,87.12
525.26,87.34
526.24,87.91
527.21,89.33
528.18,90.99
529.15,92.33
530.12,93.31
531.09,94.06
532.06,94.79
533.03,95.53
534.00,96.01
534.97,96.29
535.94,97.04
536.91,98.52
537.88,99.94
538.85,100.41
539.82,99.98
540.79,99.51
541.76,99.84
542.74,101.23
543.71,103.14
544.68,104.76
545.65,105.78
546.62,106.57
547.59,107.28
548.56,107.61
549.53,107.57
550.50,107.65
551.47,107.94
552.44,108.09
553.41,108.05
554.38,108.20
555.35,108.88
556.32,109.94
557.29,110.71
558.26,110.69
559.24,109.99
560.21,109.05
561.18,108.18
562.15,107.72
563.12,107.76
564.09,107.83
565.06,107.39
566.03,106.49
567.00,105.75
567.97,105.79
568.94,106.78
569.91,108.15
570.88,108.89
571.85,108.49
572.82,107.31
573.79,106.07
574.76,105.17
575.74,104.53
576.71,103.75
577.68,102.57
578.65,101.16
579.62,99.89
580.59,98.61
581.56,96.98
582.53,95.35
583.50,94.25
584.47,93.48
585.44,92.73
586.41,91.05
587.38,90.26
588.35,90.17
589.32,89.95
590.29,88.02
591.26,84.89
592.24,82.58
593.21,81.59
594.18,80.85
595.15,79.79
596.12,78.58
597.09,77.31
598.06,75.82
599.03,74.00
600.00,72.16
601.00,70.70
602.14,69.38
603.28,67.89
604.41,66.67
605.55,65.97
606.69,65.17
607.83,63.83
608.97,62.23
610.10,60.63
611.24,59.26
612.38,58.24
613.52,57.33
614.66,56.44
615.79,55.53
616.93,54.05
618.07,51.73
619.21,49.18
620.34,47.47
621.48,47.24
622.62,47.78
623.76,47.56
624.90,46.08
626.03,44.10
627.17,42.24
628.31,40.71
629.45,39.83
630.59,39.56
631.72,39.29
632.86,38.56
634.00,37.58
635.14,36.70
636.28,35.90
637.41,35.02
638.55,34.29
639.69,34.20
640.83,34.42
641.97,33.83
643.10,32.40
644.24,31.43
645.38,31.67
646.52,32.47
647.66,32.76
648.79,32.13
649.93,30.92
651.07,29.54
652.21,28.22
653.34,27.46
654.48,27.72
655.62,28.60
656.76,29.17
657.90,29.04
659.03,28.74
660.17,28.84
661.31,29.13
662.45,29.06
663.59,28.77
664.72,28.87
665.86,29.21
667.00,29.17
668.14,29.16
669.28,30.05
670.41,31.60
671.55,32.83
672.69,33.05
673.83,32.30
674.97,30.99
676.10,29.63
677.24,28.67
678.38,28.50
679.52,29.17
680.66,30.22
681.79,30.97
682.93,31.05
684.07,30.97
685.21,31.38
686.34,32.26
687.48,33.18
688.62,34.06
689.76,35.04
690.90,35.83
692.03,36.07
693.17,35.97
694.31,36.07
695.45,36.89
696.59,38.73
697.72,41.02
698.86,42.76
700.00,43.99
701.00,45.18
702.21,45.96
703.41,46.16
704.62,46.89
705.83,47.65
707.04,48.08
708.24,48.77
709.45,49.86
710.66,50.48
711.87,50.42
713.07,50.67
714.28,51.88
715.49,53.67
716.70,55.32
717.90,56.50
719.11,57.21
720.32,57.50
721.52,57.57
722.73,58.12
723.94,60.01
725.15,62.92
726.35,65.37
727.56,66.52
728.77,66.85
729.98,66.91
731.18,66.95
732.39,67.49
733.60,68.78
734.80,70.30
736.01,71.65
737.22,73.25
738.43,75.45
739.63,77.41
740.84,77.87
742.05,76.88
743.26,75.80
744.46,75.55
745.67,76.19
746.88,77.66
748.09,79.77
749.29,81.76
750.50,83.10
751.71,83.73
752.91,83.68
754.12,83.04
755.33,82.50
756.54,83.11
757.74,84.86
758.95,86.20
760.16,86.26
761.37,86.44
762.57,87.99
763.78,90.02
764.99,91.15
766.20,91.34
767.40,91.18
768.61,90.81
769.82,90.29
771.02,90.03
772.23,90.01
773.44,89.39
774.65,87.98
775.85,86.57
777.06,85.75
778.27,85.46
779.48,85.30
780.68,84.88
781.89,84.08
783.10,82.96
784.30,81.83
785.51,80.85
786.72,79.80
787.93,78.40
789.13,76.80
790.34,75.75
791.55,75.86
792.76,76.20
793.96,75.24
795.17,73.62
796.38,73.08
797.59,73.14
798.79,71.98
800.00,69.70
801.00,67.87
802.43,66.66
803.87,64.98
805.30,62.84
806.74,61.48
808.17,61.02
809.61,60.29
811.04,58.64
812.48,56.15
813.91,53.07
815.35,50.43
816.78,49.57
818.22,50.11
819.65,50.43
821.09,49.83
822.52,48.79
823.96,47.78
825.39,46.81
826.83,45.75
828.26,44.81
829.70,44.46
831.13,44.89
832.57,45.33
834.00,44.68
835.43,40.84
836.87,39.22
838.30,38.51
839.74,38.79
841.17,39.30
842.61,39.33
844.04,38.94
845.48,38.26
846.91,37.47
848.35,36.92
849.78,36.63
851.22,36.51
852.65,36.91
854.09,38.00
855.52,38.99
856.96,38.72
858.39,37.04
859.83,35.22
861.26,34.40
862.70,34.51
864.13,35.01
865.57,35.51
867.00,36.26
868.43,37.91
869.87,40.31
871.30,42.34
872.74,43.54
874.17,44.27
875.61,44.65
877.04,44.44
878.48,43.79
879.91,43.49
881.35,44.18
882.78,45.79
884.22,47.73
885.65,49.49
887.09,51.00
888.52,52.69
889.96,54.55
891.39,55.98
892.83,57.19
894.26,58.90
895.70,60.86
897.13,62.07
898.57,62.17
900.00,62.06
901.00,63.04
902.77,65.18
904.54,67.15
906.30,68.06
908.07,68.60
909.84,69.75
911.61,71.69
913.37,74.20
915.14,77.07
916.91,79.53
918.68,80.57
920.45,80.49
922.21,80.53
923.98,81.49
925.75,83.75
927.52,87.05
929.29,90.22
931.05,92.32
932.82,93.43
934.59,93.96
936.36,94.39
938.12,95.52
939.89,97.58
941.66,99.43
943.43,99.89
945.20,99.31
946.96,99.02
948.73,100.12
950.50,102.80
952.27,105.81
954.04,107.27
955.80,106.70
957.57,105.47
959.34,105.31
961.11,106.26
962.87,106.50
964.64,105.19
966.41,103.67
968.18,102.90
969.95,102.70
971.71,102.91
973.48,102.99
975.25,102.48
977.02,101.94
978.79,101.37
980.55,99.86
982.32,97.64
984.09,96.08
985.86,95.98
987.62,97.00
989.39,98.04
991.16,97.77
992.93,95.98
994.70,93.80
996.46,92.06
998.23,90.62
1000.00,89.17
1001.00,88.02
1003.46,88.03
1005.91,89.92
1008.37,88.07
1010.83,84.00
1013.28,80.01
1015.74,78.15
1018.20,78.42
1020.65,78.69
1023.11,77.06
1025.57,74.46
1028.02,73.12
1030.48,73.46
1032.94,74.20
1035.40,73.90
1037.85,71.95
1040.31,69.51
1042.77,68.02
1045.22,67.17
1047.68,66.08
1050.14,65.12
1052.59,65.11
1055.05,66.47
1057.51,69.02
1059.96,71.51
1062.42,72.29
1064.88,71.36
1067.33,70.52
1069.79,71.22
1072.25,73.15
1074.70,75.06
1077.16,76.43
1079.62,77.72
1082.07,79.18
1084.53,80.36
1086.99,80.85
1089.44,81.16
1091.90,82.37
1094.36,84.74
1096.81,87.62
1099.27,90.58
1101.73,93.41
1104.19,95.99
1106.64,98.37
1109.10,100.38
1111.56,102.30
1114.01,105.07
1116.47,108.66
1118.93,111.60
1121.38,113.30
1123.84,114.89
1126.30,117.18
1128.75,119.61
1131.21,121.75
1133.67,123.98
1136.12,126.57
1138.58,129.90
1141.04,134.62
1143.49,140.11
1145.95,144.77
1148.41,148.22
1150.86,151.06
1153.32,152.85
1155.78,152.60
1158.23,151.06
1160.69,150.53
1163.15,152.05
1165.60,154.61
1168.06,157.19
1170.52,159.53
1172.98,160.94
1175.43,160.69
1177.89,159.08
1180.35,157.48
1182.80,156.77
1185.26,156.31
1187.72,155.34
1190.17,154.50
1192.63,154.38
1195.09,154.13
1197.54,152.96
1200.00,151.30
1201.00,149.81
1204.88,148.86
1208.77,148.61
1212.65,148.58
1216.53,147.89
1220.42,146.29
1224.30,144.51
1228.18,143.30
1232.06,142.94
1235.95,143.27
1239.83,143.44
1243.71,142.49
1247.60,140.91
1251.48,140.28
1255.36,141.36
1259.25,143.04
1263.13,143.69
1267.01,143.34
1270.90,143.15
1274.78,143.47
1278.66,144.35
1282.55,146.31
1286.43,148.99
1290.31,151.22
1294.19,153.32
1298.08,157.20
1301.96,171.14
1305.84,177.57
1309.73,182.78
1313.61,188.20
1317.49,194.24
1321.38,199.57
1325.26,203.61
1329.14,207.89
1333.03,213.66
1336.91,219.87
1340.79,225.27
1344.68,230.73
1348.56,237.24
1352.44,243.97
1356.32,250.06
1360.21,255.56
1364.09,260.06
1367.97,262.53
1371.86,262.98
1375.74,263.16
1379.62,265.46
1383.51,269.99
1387.39,273.59
1391.27,274.04
1395.16,273.29
1399.04,274.01
1402.92,275.67
1406.81,276.82
1410.69,277.36
1414.57,277.35
1418.45,276.56
1422.34,275.51
1426.22,275.38
1430.10,276.85
1433.99,278.88
1437.87,279.46
1441.75,279.02
1445.64,280.43
1449.52,284.54
1453.40,289.00
1457.29,292.29
1461.17,294.89
1465.05,297.33
1468.94,300.48
1472.82,306.24
1476.70,315.53
1480.58,327.20
1484.47,339.80
1488.35,352.76
1492.23,365.94
1496.12,379.07
1500.00,391.22
1501.00,401.54
1510.98,410.71
1520.96,419.95
1530.94,429.30
1540.92,437.83
1550.90,444.30
1560.88,447.75
1570.86,448.91
1580.84,450.03
1590.82,451.95
1600.80,454.14
1610.78,457.40
1620.76,462.97
1630.74,470.07
1640.72,476.60
1650.70,481.61
1660.68,485.93
1670.66,490.53
1680.64,496.32
1690.62,505.06
1700.60,517.22
1710.58,530.64
1720.56,544.26
1730.54,559.78
1740.52,577.48
1750.50,594.44
1760.48,608.56
1770.46,620.83
1780.44,632.54
1790.42,642.91
1800.40,651.03
1810.38,657.91
1820.36,665.07
1830.34,673.29
1840.32,683.45
1850.30,695.63
1860.28,707.50
1870.26,717.12
1880.24,725.86
1890.22,736.18
1900.20,748.56
1910.18,762.01
1920.16,775.67
1930.14,789.28
1940.12,802.77
1950.10,816.06
1960.08,829.21
1970.06,842.64
1980.04,856.19
1990.02,868.59
2000.00,879.13
2001.00,888.67
2018.22,898.55
2035.45,925.07
2052.67,940.11
2069.90,952.06
2087.12,960.92
2104.34,968.51
2121.57,975.21
2138.79,982.21
2156.02,992.41
2173.24,1006.28
2190.47,1021.10
2207.69,1034.04
2224.91,1042.58
2242.14,1044.86
2259.36,1043.01
2276.59,1042.73
2293.81,1047.12
2311.03,1053.59
2328.26,1058.71
2345.48,1062.95
2362.71,1068.54
2379.93,1075.13
2397.16,1080.60
2414.38,1084.13
2431.60,1086.03
2448.83,1086.60
2466.05,1086.92
2483.28,1089.30
2500.50,1095.50
2517.72,1105.43
2534.95,1117.25
2552.17,1126.99
2569.40,1130.52
2586.62,1128.40
2603.84,1126.03
2621.07,1127.57
2638.29,1132.97
2655.52,1139.95
2672.74,1145.39
2689.97,1146.64
2707.19,1143.58
2724.41,1138.32
2741.64,1132.99
2758.86,1129.18
